id;namespace_id;namespace_name;role_name;original_name;repository_id;repository_name;repository_original_name;provider_namespace_id;provider_name;provider_display_name;repository__provider__namespace__name
16939;2128;dunn;security;security;45020;security;ansible-security;2109;dunn;Alex Dunn;dunn
32892;9443;mpataki;ha_nginx;ha_nginx;80351;ha_nginx;ansible-ha-nginx;9518;mpataki;Mat Pataki;mpataki
50699;2477;f5devcentral;bigiq_migrate_apps;bigiq_migrate_apps;95576;bigiq_migrate_apps;ansible-role-bigiq_migrate_apps;2456;f5devcentral;F5 DevCentral;f5devcentral
47668;14726;darkwizard242;go;go;92254;go;ansible-role-go;14882;darkwizard242;Ali Muhammad;darkwizard242
29906;6503;oneoffadmins;ansible_role_k_link;ansible-role-k-link;79236;ansible_role_k_link;ansible-role-k-link;8782;k-box;K-* Technologies;oneoffadmins
44182;3320;k4ch0;circleci_cli;circleci_cli;88757;circleci_cli;ansible-circleci-cli;3292;k4ch0;Luis Cacho;k4ch0
32415;9562;inmediasit;ansible_ssl_ca_cert;ansible-ssl-ca-cert;80515;ansible_ssl_ca_cert;ansible-ssl-ca-cert;9641;inmediasit;;inmediasit
29055;2589;chrismeyersfsu;role_xss;role-xss;78526;role_xss;role-xss;2566;chrismeyersfsu;Chris Meyers;chrismeyersfsu
37539;11231;shifteo_ops;apache_role;apache-role;82362;apache_role;apache-role;11328;shifteo-ops;Shifteo DevOps;shifteo_ops
47210;16002;stdevel;mosquitto;mosquitto;91757;mosquitto;ansible-mosquitto;16167;stdevel;Christian Stankowic;stdevel
35710;8536;amimof;kubernetes_the_right_way;kubernetes-the-right-way;81493;kubernetes_the_right_way;kubernetes-the-right-way;8583;amimof;Amir Mofasser;amimof
33504;8772;borkenpipe;ansible_role_homebrew;ansible-role-homebrew;80906;ansible_role_homebrew;ansible-role-homebrew;8827;borkenpipe;Borken Pipe;borkenpipe
24228;705;fourforbusiness;copy-files;copy-files;56263;copy-files;ansible-role-copy-files;697;fourforbusiness;four for business;fourforbusiness
42545;15240;livek_io;ansible_awx;ansible-awx;86904;ansible_awx;ansible-awx;15370;Livek-io;Livek;livek_io
24920;2291;javiergayala;filebeat;filebeat;56864;filebeat;ansible-role-filebeat;2271;javiergayala;Javier Ayala;javiergayala
43664;16446;oufy;webmin;webmin;88139;webmin;webmin;16623;oufy-ansible-roles;;oufy
40486;3105;retr0h;users;users;84852;users;ansible-role-users;3079;retr0h;įoнииγ įoнииγ;retr0h
45560;18377;pistahh;nextcloud_snap_backup;nextcloud-snap-backup;90115;nextcloud_snap_backup;nextcloud-snap-backup;18563;Pistahh;István Szekeres;pistahh
36436;7191;diodonfrost;bind;bind;82125;bind;ansible-role-bind;7213;diodonfrost;;diodonfrost
44597;17416;robinnepomukmai;nexus3_oss;nexus3-oss;89223;nexus3_oss;nexus3-oss;17594;robinnepomukmai;Robin Mai;robinnepomukmai
38181;6888;renderqwerty;innovation_vault;innovation-vault;83015;innovation_vault;innovation-vault;6907;RenderQwerty;Yurii Fisakov;renderqwerty
38466;2477;f5devcentral;f5app_services_package;f5app_services_package;83233;f5app_services_package;ansible-role-f5app_services_package;2456;f5devcentral;F5 DevCentral;f5devcentral
45953;12082;xanmanning;kompose;kompose;90454;kompose;ansible-role-kompose;12195;PyratLabs;PyratLabs;xanmanning
33572;2461;IFenrirI;ansible_role_zsh;ansible-role-zsh;80918;ansible-role-zsh;ansible-role-zsh;2440;IFenrirI;;IFenrirI
38583;2558;cbrake;gitea;gitea;83349;gitea;ansible-role-gitea;2536;cbrake;Cliff Brake;cbrake
44303;9481;mafalb;raspberry;raspberry;88892;raspberry;ansible-raspberry;9556;mafalb;Markus Falb;mafalb
30465;9051;ericbaum;ansible_rook;ansible-rook;79739;ansible_rook;ansible-rook;9112;ericbaum;Eric Baum;ericbaum
12440;3990;sdarwin;munin;munin;54530;munin;Ansible-Munin;3955;sdarwin;Sam Darwin;sdarwin
33505;8772;borkenpipe;ansible_role_mas;ansible-role-mas;80907;ansible_role_mas;ansible-role-mas;8827;borkenpipe;Borken Pipe;borkenpipe
52821;12093;clusterapps;localrepo;localrepo;97846;localrepo;ansible-role-localrepo;12207;clusterapps;Michael Cleary;clusterapps
41971;1967;manala;mongo_express;mongo_express;86300;mongo_express;ansible-role-mongo_express;1949;manala;Manala;manala
41141;8079;coreywan;azure_preview_modules;azure_preview_modules;85495;azure_preview_modules;azure_preview_modules;8122;coreywan;Corey Wanless;coreywan
57628;31677;mullholland;repository_rpmfusion;repository_rpmfusion;103837;repository_rpmfusion;ansible-role-repository_rpmfusion;32072;mullholland;Mullholland;mullholland
39070;4124;b1-systems;suseconnect;suseconnect;83714;suseconnect;ansible-role-suseconnect;4085;b1-systems;B1 Systems GmbH;b1-systems
40763;13679;nioniosfr;docker_ce;docker_ce;85123;docker_ce;ansible-role-docker-ce;13821;NioniosFr;Dionysios Fryganas;nioniosfr
52464;26566;stevek_pro;ansible_role_mysql_fedora_server;ansible-role-mysql-fedora-server;97446;ansible_role_mysql_fedora_server;ansible-role-mysql-fedora-server;26887;stevek-pro;Stephan Kristyn;stevek_pro
